idNum,apply_pdl_7,apply_int_7,apply_sum_7,reject_pdl_7,reject_int_7,reject_sum_7,approve_pdl_7,approve_int_7,approve_sum_7,overdue_pdl_7,overdue_int_7,overdue_sum_7,loanamount_pdl_7,loanamount_int_7,loanamount_sum_7,maxOverdue_pdl_7,maxOverdue_int_7,maxOverdue_sum_7,apply_pdl_14,apply_int_14,apply_sum_14,reject_pdl_14,reject_int_14,reject_sum_14,approve_pdl_14,approve_int_14,approve_sum_14,overdue_pdl_14,overdue_int_14,overdue_sum_14,loanamount_pdl_14,loanamount_int_14,loanamount_sum_14,maxOverdue_pdl_14,maxOverdue_int_14,maxOverdue_sum_14,apply_pdl_30,apply_int_30,apply_sum_30,reject_pdl_30,reject_int_30,reject_sum_30,approve_pdl_30,approve_int_30,approve_sum_30,overdue_pdl_30,overdue_int_30,overdue_sum_30,loanamount_pdl_30,loanamount_int_30,loanamount_sum_30,maxOverdue_pdl_30,maxOverdue_int_30,maxOverdue_sum_30,apply_pdl_60,apply_int_60,apply_sum_60,reject_pdl_60,reject_int_60,reject_sum_60,approve_pdl_60,approve_int_60,approve_sum_60,overdue_pdl_60,overdue_int_60,overdue_sum_60,loanamount_pdl_60,loanamount_int_60,loanamount_sum_60,maxOverdue_pdl_60,maxOverdue_int_60,maxOverdue_sum_60,apply_pdl_90,apply_int_90,apply_sum_90,reject_pdl_90,reject_int_90,reject_sum_90,approve_pdl_90,approve_int_90,approve_sum_90,overdue_pdl_90,overdue_int_90,overdue_sum_90,loanamount_pdl_90,loanamount_int_90,loanamount_sum_90,maxOverdue_pdl_90,maxOverdue_int_90,maxOverdue_sum_90,apply_pdl_180,apply_int_180,apply_sum_180,reject_pdl_180,reject_int_180,reject_sum_180,approve_pdl_180,approve_int_180,approve_sum_180,overdue_pdl_180,overdue_int_180,overdue_sum_180,loanamount_pdl_180,loanamount_int_180,loanamount_sum_180,maxOverdue_pdl_180,maxOverdue_int_180,maxOverdue_sum_180,apply_pdl_all,apply_int_all,apply_sum_all,reject_pdl_all,reject_int_all,reject_sum_all,approve_pdl_all,approve_int_all,approve_sum_all,overdue_pdl_all,overdue_int_all,overdue_sum_all,loanamount_pdl_all,loanamount_int_all,loanamount_sum_all,maxOverdue_pdl_all,maxOverdue_int_all,maxOverdue_sum_all
eaa5a4826f7ad1d08844dbad3eec9635,2,1,3,2,1,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,2,1,3,2,1,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,2,1,3,2,1,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,2,1,3,2,1,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,4,2,6,4,2,6,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,11,2,13,6,2,8,5,0,5,0,0,0,5000.0,0.0,5000.0,0,-99999,0,11,2,13,6,2,8,5,0,5,0,0,0,5000.0,0.0,5000.0,0,-99999,0
5d14307d5df3fce54b5d2be279e46bcf,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
b916ca9b5bcf77b1588ab82e013a27a3,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,5,6,1,5,6,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
913b80ad2b4c336fb0177165336e33e1,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,2,2,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,2,3,5,2,3,5,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,13,3,16,8,3,11,5,0,5,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,19,8,27,14,8,22,5,0,5,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,30,14,44,22,14,36,8,0,8,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,36,18,54,28,18,46,8,0,8,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
3be8a27f0a2027619ccb4b796afa76bd,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,5,1,6,5,1,6,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,6,1,7,6,1,7,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,6,2,8,6,2,8,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,17,4,21,17,4,21,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,25,7,32,21,7,28,4,0,4,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
13b96511dbb4a41d04f2e2dd442e2986,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
a5110e26ef862426a3848219960252d8,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,6,7,1,6,7,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,4,6,10,2,6,8,2,0,2,0,0,0,1000.0,0.0,1000.0,0,-99999,0,4,6,10,2,6,8,2,0,2,0,0,0,1000.0,0.0,1000.0,0,-99999,0
eec2a5d387665cb0cca41e84f823ccf6,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,5,5,0,5,5,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
0a746d04919ed3c46fe757a006ef3c21,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
2310fd1c7e8d92188f4cefb8a7671035,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,2,1,3,2,1,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,3,1,4,3,1,4,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,5,1,6,5,1,6,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,8,1,9,5,1,6,3,0,3,0,0,0,2000.0,0.0,2000.0,0,-99999,0,8,2,10,5,2,7,3,0,3,0,0,0,2000.0,0.0,2000.0,0,-99999,0
